farm_id,name,lat,lon,inventory_pigs,avg_weight_kg,growth_rate_kg_per_week,age_weeks,price_per_kg,consumption_pigs,capacity
GRJ_001,Granja del Segre,41.6170,0.6200,3000,112.00,4.5,22,1.40,300,3500
GRJ_002,Porcs de Ponent,41.6300,0.5800,5000,121.50,4.5,25,1.40,500,5500
GRJ_003,Granja Solar,41.5900,0.6500,2500,108.00,4.5,21,1.40,250,3000
GRJ_004,Agropecuaria B,41.5500,0.5000,1500,115.00,4.5,23,1.40,150,2000
GRJ_005,Mas d'en Riu,41.7000,0.6000,4000,105.00,4.5,20,1.40,400,4500
GRJ_006,Granja Nord,41.8000,0.4500,2000,125.00,4.5,26,1.40,200,2500
GRJ_007,Explotacions J,41.5000,0.7000,3500,118.00,4.5,24,1.40,350,4000
GRJ_008,La Vella,41.6500,0.5500,1200,130.00,4.5,27,1.40,120,1500
GRJ_009,Granja Nova,41.4000,0.4000,6000,110.00,4.5,22,1.40,600,6500
GRJ_010,Porcs Sostenibles,41.7500,0.6500,2800,102.00,4.5,19,1.40,280,3200
GRJ_011,Granja Vall,41.3500,0.5500,3200,114.00,4.5,23,1.40,320,3500
GRJ_012,Iberic Lleida,41.4500,0.7500,1800,122.00,4.5,25,1.40,180,2200
GRJ_013,Granja Turo,41.8500,0.5000,4500,109.00,4.5,21,1.40,450,5000
GRJ_014,Agro M,41.6000,0.8000,2200,116.00,4.5,24,1.40,220,2500
GRJ_015,Finca Roja,41.3000,0.4500,5500,100.00,4.5,18,1.40,550,6000
GRJ_016,Granja Blau,41.7000,0.4000,3800,113.00,4.5,22,1.40,380,4200
GRJ_017,Porcs del Pla,41.5500,0.8500,1600,128.00,4.5,26,1.40,160,2000
GRJ_018,Ramaderia K,41.9000,0.6000,4200,107.00,4.5,20,1.40,420,4800
GRJ_019,Granja Est,41.2500,0.6500,2900,119.00,4.5,24,1.40,290,3500
GRJ_020,Agro Sud,41.4000,0.5000,3100,111.00,4.5,22,1.40,310,3500
GRJ_021,La Plana,41.6800,0.4800,2400,124.00,4.5,25,1.40,240,3000
GRJ_022,Granja Oest,41.5200,0.4200,3600,106.00,4.5,20,1.40,360,4000
GRJ_023,Porcs Quality,41.7200,0.7200,4800,117.00,4.5,23,1.40,480,5500
GRJ_024,Granja Z,41.4800,0.5800,1900,120.00,4.5,24,1.40,190,2500
GRJ_025,Final Farm,41.6200,0.6800,5100,104.00,4.5,19,1.40,510,5600
